"PC1","PC2","Phenotype","Sample"
-7.04461130050029,16.0719367221543,"MSS","M1_1_MSS"
-12.9835364535207,17.5377150373567,"MSS","M1_2_MSS"
-25.1238988898407,7.83968207151812,"MSS","M5_1_MSS"
-17.290839066837,8.8351403591919,"MSS","M5_2_MSS"
-2.69352207167663,2.09310502834625,"MSS","T49_1_MSS"
-7.7192790780294,5.25271877339954,"MSS","T49_2_MSS"
-6.21653233492498,-27.4586028030377,"PD","M42_1_PD"
-9.39447554427234,-25.5907308148199,"PD","M42_2_PD"
37.4098390153702,5.18140769148319,"PD","M43_1_PD"
38.3174906326563,6.46056408380581,"PD","M43_2_PD"
8.93021895777544,-10.518104244544,"PD","M64_1_PD"
3.80914613380012,-5.70483190485406,"PD","M64_2_PD"
